,Gm28962,Gm14743
,Gm28963,Gm5938
,Gm28964,Gm14744
,Gm28965,Cldn34d
,Gm28966,Pwwp4d
,Gm28968,Ctag2l2
,Gm28969,Pwwp4c
,Gm28970,Ctag2l1
,Gm28971,Spin2d
,Gm28972,Gm14692
,Gm28973,Gm1140
,Gm28974,Gm6760
,Gm28975,Gm7073
,Gm28977,Tm9sf5
,Gm28978,4933416I08Rik
,Gm28983,Gm17604
,Gm28984,Fsip2l
,Gm28985,Cypt15
,Gm28986,Rhox7b
,Gm28987,Rhox2h
,Gm28990,Rhox4g
,Gm28993,Rhox2g
,Gm28994,Rhox4f
,Gm28997,Rhox4d
,Gm28998,Rhox4c
,Gm28999,Rhox3c
,Gm29000,Rhox2c
,Gm29001,Rhox2b
,Gm29002,Rhox4a
,Gm29003,Rpl39
,Gm29021,Gm6268
,Gm29023,Gm2892
,Gm29024,Gm5168
,Gm29025,Gm14862
,Gm29026,Gm5751
,Gm29027,Gm6592
,Gm29028,Ssxb3
,Gm29029,Ssxb6
,Gm29030,Ssxb8
,Gm29031,Gm14459
,Gm29032,Ssxb1
,Gm29033,Xlr4a
,Gm29034,Gm4984
,Gm29037,Gm7146
,Gm29038,Gm14853
,Gm29042,Gm15108
,Gm29043,Gm14864
,Gm29044,Gm14510
,Gm29045,Gm41
,Gm29046,Gm15125
,Gm29047,Spin2-ps2
,Gm29048,Gm9427
,Gm29049,Gm14777
,Gm29056,Gm14448
,Gm29057,Gm14756
,Gm29058,Dppa3-ps
,Gm29059,Gm16400
,Gm29060,Fam220-ps
,Gm29061,Gm14772
,Gm29062,Gm14806
,Gm29063,Gm14807
,Gm29070,Gm14350
,Gm29071,Spin2-ps1
,Gm29073,Gm14644
,Gm29074,Mir1298
,Gm29075,None
,Gm29076,None
,Gm29077,None
,Gm29078,None
,Gm29079,None
,Gm29080,Gm24831
,Gm29081,None
,Gm29082,None
,Gm29089,Gm24907
,Gm29090,Mir1198
,Gm29091,Gm5394
,Gm29092,Gm8107
,Gm29098,Gm14602
,Gm29108,Gm8019
,Gm29109,Gm6121
,Gm29110,Gm14867
,Gm29111,Gm6982
,Gm29115,Gm7150
,Gm29116,Gm15062
,Gm29117,Gm15029
